"","Paraprevotella","Methanosphaera","Fusobacterium","Fusobacterium","Bacteroides","Insolitispirillum","Megamonas","Prevotella","Ruminococcus","Fusobacterium","Alistipes","Bacteroides","Barnesiella","Fusobacterium","Barnesiella","Veillonella","Bacteroides","Fusobacterium","Fusobacterium","Dialister","Clostridium_XlVa","Succiniclasticum","Blautia","Blautia"
"health.colsum",0,1,1,1,4,2,0,1,0,0,1,0,2,2,2,0,5,1,1,3,4,1,3,2
"adenoma.colsum",1,4,0,0,0,2,2,4,1,1,1,1,0,0,0,2,1,0,0,1,3,0,3,0
"carcinoma.colsum",4,0,2,3,1,0,1,0,1,4,0,2,2,2,1,2,0,2,5,0,0,3,0,3
