"","Fusobacterium","Megasphaera","Bacteroides","Fusobacterium","Alistipes","Ruminococcus","Megasphaera","Barnesiella","Ruminococcus","Prevotella","Fusobacterium","Alistipes","Lactobacillus","Prevotella","Barnesiella","Dorea","Bacteroides"
"health.colsum",0,0,5,0,2,2,0,0,0,0,0,2,1,0,2,0,2
"adenoma.colsum",0,0,0,0,0,0,4,0,0,0,0,0,0,2,0,2,0
"carcinoma.colsum",3,1,0,2,0,0,0,1,2,1,2,0,0,0,0,0,0
